fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,quality
7.4,0.7,0,1.9,0.076,5
7.8,0.88,0,2.6,0.098,5
7.8,0.76,0.04,2.3,0.092,5
11.2,0.28,0.56,1.9,0.075,6
7.4,0.7,0,1.9,0.076,5
7.4,0.66,0,1.8,0.075,5
7.9,0.6,0.06,1.6,0.069,5
7.3,0.65,0,1.2,0.065,7
7.8,0.58,0.02,2,0.073,7
6.7,0.58,0.08,1.8,0.097,5
5.6,0.615,0,1.6,0.089,5
7.8,0.61,0.29,1.6,0.114,5
8.5,0.28,0.56,1.8,0.092,7
7.9,0.32,0.51,1.8,0.341,6
7.6,0.39,0.31,2.3,0.082,5
7.9,0.43,0.21,1.6,0.106,5
8.5,0.49,0.11,2.3,0.084,5
6.9,0.4,0.14,2.4,0.085,6
